Season,BetType,Odds,P_Model,Won,Flat_P,Kelly_P,Kelly_S,Flat_S,League
2021,X,4.5,0.26458772826842103,0,-10.0,-13.617484086278196,13.617484086278196,10.0,Bundesliga
2021,1,9.0,0.27669543211144265,0,-10.0,-46.57059028134325,46.57059028134325,10.0,Bundesliga
2021,X,6.0,0.1764048531711079,0,-10.0,-2.9214559513323746,2.9214559513323746,10.0,Bundesliga
2021,1,3.2,0.3402097715380681,0,-10.0,-10.076280559297485,10.076280559297485,10.0,Bundesliga
2021,X,4.0,0.411628914423736,0,-10.0,-50.0,50.0,10.0,Bundesliga
2021,X,7.0,0.19527549895263127,1,60.0,91.73212316710472,15.288687194517452,10.0,Bundesliga
2021,X,6.0,0.26541137260850695,0,-10.0,-29.62341178255208,29.62341178255208,10.0,Bundesliga
2021,X,5.0,0.22537629571870924,0,-10.0,-7.930092412096634,7.930092412096634,10.0,Bundesliga
2021,1,10.0,0.27767222636785766,0,-10.0,-49.35339621329379,49.35339621329379,10.0,Bundesliga
2021,X,6.0,0.21048878697534837,1,50.0,65.73318046302256,13.146636092604513,10.0,Bundesliga
2021,X,4.33,0.2574436458458198,0,-10.0,-8.613437425855839,8.613437425855839,10.0,Bundesliga
2021,X,4.75,0.2360743688028427,0,-10.0,-8.09021678756685,8.09021678756685,10.0,Bundesliga
2021,1,5.0,0.3274388928001611,0,-10.0,-39.82465400005034,39.82465400005034,10.0,Bundesliga
2021,X,5.0,0.25546568571436906,0,-10.0,-17.333026785740337,17.333026785740337,10.0,Bundesliga
2021,X,4.33,0.2691947864696456,1,33.3,41.403356353391366,12.433440346363774,10.0,Bundesliga
2022,1,6.0,0.3604811396909923,0,-10.0,-50.0,50.0,10.0,Bundesliga
2022,X,5.0,0.26293300655142887,0,-10.0,-19.66656454732152,19.66656454732152,10.0,Bundesliga
2022,1,3.3,0.4162128460197998,0,-10.0,-40.59808607231949,40.59808607231949,10.0,Bundesliga
2022,1,3.2,0.413187580800146,0,-10.0,-36.613665745507646,36.613665745507646,10.0,Bundesliga
2022,1,4.5,0.27069404108136347,0,-10.0,-15.580227490438256,15.580227490438256,10.0,Bundesliga
2022,X,4.5,0.25435852674931986,0,-10.0,-10.32952645513853,10.32952645513853,10.0,Bundesliga
2022,X,5.75,0.23081427376912364,0,-10.0,-17.22010916697163,17.22010916697163,10.0,Bundesliga
2022,X,4.75,0.2361257911976533,1,37.5,30.399377047213292,8.106500545923545,10.0,Bundesliga
2022,2,3.0,0.38953367832109503,0,-10.0,-21.075129370410643,21.075129370410643,10.0,Bundesliga
2022,1,3.0,0.3806183110341956,0,-10.0,-17.731866637823334,17.731866637823334,10.0,Bundesliga
2022,X,9.5,0.11268159353135287,0,-10.0,-2.072798192583893,2.072798192583893,10.0,Bundesliga
2022,X,4.5,0.24651999304863384,0,-10.0,-7.809997765632309,7.809997765632309,10.0,Bundesliga
2022,1,3.5,0.3992671818639019,0,-10.0,-39.743513652365685,39.743513652365685,10.0,Bundesliga
2022,1,3.6,0.3360188961023532,1,26.0,52.41700649211789,20.160387112353035,10.0,Bundesliga
2022,2,3.6,0.360769654250495,0,-10.0,-28.72795724055596,28.72795724055596,10.0,Bundesliga
2022,1,13.0,0.2686982591070608,0,-10.0,-50.0,50.0,10.0,Bundesliga
2022,X,8.0,0.2283964526567416,0,-10.0,-29.54184361621189,29.54184361621189,10.0,Bundesliga
2022,X,4.5,0.23507114585179958,0,-10.0,-4.130011166649873,4.130011166649873,10.0,Bundesliga
2022,X,4.75,0.24498505156242154,0,-10.0,-10.911932994766818,10.911932994766818,10.0,Bundesliga
2022,1,3.1,0.5188298171322999,0,-10.0,-50.0,50.0,10.0,Bundesliga
